what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344096472465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344096476866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344096480986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344096483885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096487959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096489750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096493611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096494066
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1344096494172
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344096495028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1344096511241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096535732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096586446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344096594543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096599136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096599470
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1344096625484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1344096628301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1344096628647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1344096629028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1344096632770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096639246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096671638
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1344096679535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344096689252
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344096690929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096712547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096722327
activated,view,com.android.ide.eclipse.ddms,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ddms.views.LogCatView",1344096722512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096730318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096731963
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344096732102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096746588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096751609
activated,view,com.android.ide.eclipse.ddms,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ddms.views.LogCatView",1344096751787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096753993
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344096771594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096771597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096774438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096792250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1344096798844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344096799840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344096810220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096825720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096966245
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1344096966431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096971114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344096978037
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344096978165
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344096983617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344096987014
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1344096989398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344097009417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344097030780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1344097051986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344097056140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344097059855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1344097072914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344097082818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344097273355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1344097279704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344097283758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344097298640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344097311240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344097315693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1344097335240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344097341095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344097357562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344097359952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344097770152
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1344097775179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344097779372
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1344097781246
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1344097781276
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1344097781277
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1344097781797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344097781797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344097781852
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344097781899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344097785411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344097793027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344097796609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344098118935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344098122708
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344098126330
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1344098130621
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1344098130621
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1344098130621
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1344098130621
